Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-23 00:00:00+00:00,111679.359375,111798.90625,106841.3046875,107287.796875,67548133399,0.0,0.0
2025-05-24 00:00:00+00:00,107278.5078125,109454.5234375,106895.2890625,107791.15625,45903627163,0.0,0.0
2025-05-25 00:00:00+00:00,107802.2734375,109313.3046875,106683.375,109035.390625,47518041841,0.0,0.0
2025-05-26 00:00:00+00:00,109023.78125,110376.8828125,108735.640625,109440.3671875,45950461571,0.0,0.0
2025-05-27 00:00:00+00:00,109440.40625,110744.2109375,107609.5546875,108994.640625,57450176272,0.0,0.0
2025-05-28 00:00:00+00:00,108992.171875,109298.2890625,106812.9296875,107802.328125,49155377493,0.0,0.0
2025-05-29 00:00:00+00:00,107795.5703125,108910.046875,105374.3984375,105641.7578125,56022752042,0.0,0.0
2025-05-30 00:00:00+00:00,105646.2109375,106308.9453125,103685.7890625,103998.5703125,57655287183,0.0,0.0
2025-05-31 00:00:00+00:00,103994.71875,104927.1015625,103136.1171875,104638.09375,38997843858,0.0,0.0
2025-06-01 00:00:00+00:00,104637.296875,105884.546875,103826.953125,105652.1015625,37397056873,0.0,0.0
2025-06-02 00:00:00+00:00,105649.8125,105958.3125,103727.546875,105881.53125,45819706290,0.0,0.0
2025-06-03 00:00:00+00:00,105888.4765625,106813.578125,104920.84375,105432.46875,46196508367,0.0,0.0
2025-06-04 00:00:00+00:00,105434.3671875,105997.6953125,104232.703125,104731.984375,44544857105,0.0,0.0
2025-06-05 00:00:00+00:00,104750.78125,105936.6875,100436.8828125,101575.953125,57479298400,0.0,0.0
2025-06-06 00:00:00+00:00,101580.1171875,105304.8671875,101365.703125,104784.53125,60481912832,0.0,0.0
